Region;Hellenides
Country;Greece
#;4
Spring Name/Station Name;Stymfalia
Literature;No
Lat;22.473
Lon;37.868
Elev (m);620
Recharge Area (km2);
Start Date;7.12.2016
End Date;30.09.2024
Resolution;Daily
Data Source;Eleni Zagana
Data License;CC BY 4.0
Contact For License;Eleni Zagana
Spring ID;HEL_04_GR
Date;Discharge (m3/s)
7.12.2016;0,385945114
8.12.2016;0,386559778
9.12.2016;0,381037092
10.12.2016;0,379812681
11.12.2016;0,371879535
12.12.2016;0,370663005
13.12.2016;0,370055143
14.12.2016;0,370663005
15.12.2016;0,370663005
16.12.2016;0,371879535
17.12.2016;0,370663005
18.12.2016;0,370663005
19.12.2016;0,370055139
20.12.2016;0,370663005
21.12.2016;0,362781561
22.12.2016;0,358556521
23.12.2016;0,356749858
24.12.2016;0,355546778
25.12.2016;0,356148182
26.12.2016;0,356148182
27.12.2016;0,356749859
28.12.2016;0,356749859
29.12.2016;0,350745412
30.12.2016;0,350745412
31.12.2016;0,3441724
1.01.2017;0,348949443
2.01.2017;0,350146479
3.01.2017;0,350745412
4.01.2017;0,347753514
5.01.2017;0,359159286
6.01.2017;0,38840531
7.01.2017;0,415107811
8.01.2017;0,410729535
9.01.2017;0,414481608
10.01.2017;0,41385565
11.01.2017;0,42642097
12.01.2017;0,448000554
13.01.2017;0,445447762
14.01.2017;0,446723696
15.01.2017;0,465327537
16.01.2017;0,478267776
17.01.2017;0,477618674
18.01.2017;0,47826778
19.01.2017;0,4984975
20.01.2017;0,47632112
21.01.2017;0,476969787
22.01.2017;0,47502444
23.01.2017;0,478267778
24.01.2017;0,491295561
25.01.2017;0,495220693
26.01.2017;0,493911461
27.01.2017;0,490642121
28.01.2017;0,492603084
29.01.2017;0,491295561
30.01.2017;0,491295561
31.01.2017;0,492603084
1.02.2017;0,480866391
2.02.2017;0,471139687
3.02.2017;0,449278334
4.02.2017;0,446723696
5.02.2017;0,473728625
6.02.2017;0,520918755
7.02.2017;0,55230009
8.02.2017;0,550955801
9.02.2017;0,520255896
10.02.2017;0,510997391
11.02.2017;0,502436639
12.02.2017;0,497186136
13.02.2017;0,491949215
14.02.2017;0,483468489
15.02.2017;0,47826778
16.02.2017;0,477618674
17.02.2017;0,481516589
18.02.2017;0,480866391
19.02.2017;0,483468489
20.02.2017;0,495220693
21.02.2017;0,504409056
22.02.2017;0,495220693
23.02.2017;0,491949215
24.02.2017;0,502436639
25.02.2017;0,50770061
26.02.2017;0,509018698
27.02.2017;0,522908573
28.02.2017;0,524236133
1.03.2017;0,533551705
2.03.2017;0,539561058
3.03.2017;0,536220534
4.03.2017;0,527558579
5.03.2017;0,524900216
6.03.2017;0,532218492
7.03.2017;0,536220534
8.03.2017;0,532884998
9.03.2017;0,546256967
10.03.2017;0,630163922
11.03.2017;0,636410611
12.03.2017;0,928056513
13.03.2017;0,559033151
14.03.2017;0,537556147
15.03.2017;0,549612299
16.03.2017;0,545586487
17.03.2017;0,550283951
18.03.2017;0,557684981
19.03.2017;0,565785471
20.03.2017;0,552972515
21.03.2017;0,538224252
22.03.2017;0,541567755
23.03.2017;0,550283951
24.03.2017;0,554317965
25.03.2017;0,550955799
26.03.2017;0,553645143
27.03.2017;0,549612297
28.03.2017;0,537556147
29.03.2017;0,531552186
30.03.2017;0,529554476
31.03.2017;0,526228993
1.04.2017;0,526893685
2.04.2017;0,526893685
3.04.2017;0,531552186
4.04.2017;0,530220178
5.04.2017;0,527558579
6.04.2017;0,53488572
7.04.2017;0,534218613
8.04.2017;0,530886082
9.04.2017;0,531552186
10.04.2017;0,530886082
11.04.2017;0,526228993
12.04.2017;0,532218492
